source,source_id,category_title,category_alias
yelp,p31x-FIvjCM8Br2MyQ9tlQ,Sandwiches,sandwiches
yelp,cb6XFaUrSLhTWpCuOCgCAg,Mexican,mexican
yelp,xIbINpWc2TZorB9FnLvixw,Noodles,noodles
yelp,xIbINpWc2TZorB9FnLvixw,Food Trucks,foodtrucks
yelp,xIbINpWc2TZorB9FnLvixw,Ramen,ramen
yelp,OK_--wLgyXwF4Btv04cZ0A,Bubble Tea,bubbletea
yelp,OK_--wLgyXwF4Btv04cZ0A,Ramen,ramen
yelp,OK_--wLgyXwF4Btv04cZ0A,Sushi Bars,sushi
yelp,Lghp_sRkbth4Ttg_eEaNUA,Soup,soup
yelp,Lghp_sRkbth4Ttg_eEaNUA,Salad,salad
yelp,Lghp_sRkbth4Ttg_eEaNUA,Dim Sum,dimsum
yelp,tB2LegQ7Fa5dcLnlanNNKw,Mediterranean,mediterranean
yelp,tB2LegQ7Fa5dcLnlanNNKw,Greek,greek
yelp,tB2LegQ7Fa5dcLnlanNNKw,Halal,halal
yelp,JVxIyG6pnV5vvqtnM8W5SQ,Thai,thai
yelp,jtXX2PeLlLq8hFAbIfFrTg,Sushi Bars,sushi
yelp,mf77ydEQUHqa41TEk70pkA,Puerto Rican,puertorican
yelp,p8ArY2BBZB2TppW2qYG75Q,Acai Bowls,acaibowls
yelp,p8ArY2BBZB2TppW2qYG75Q,Juice Bars & Smoothies,juicebars
yelp,p8ArY2BBZB2TppW2qYG75Q,Vegetarian,vegetarian
yelp,-i20Yl0MTUr-i1N-58-JJA,Poke,poke
yelp,-i20Yl0MTUr-i1N-58-JJA,Hawaiian,hawaiian
yelp,RyP_OAZhu6TFgXDxv1sPCw,Mediterranean,mediterranean
yelp,RyP_OAZhu6TFgXDxv1sPCw,Halal,halal
yelp,RyP_OAZhu6TFgXDxv1sPCw,Wraps,wraps
yelp,mAOcJjJwMfQn9UlsYvsPnQ,Sushi Bars,sushi
yelp,mAOcJjJwMfQn9UlsYvsPnQ,Japanese,japanese
yelp,mAOcJjJwMfQn9UlsYvsPnQ,Asian Fusion,asianfusion
yelp,wegGvfCmN8laX94wT830_A,Japanese,japanese
yelp,Ag89Kt5lObftTZG7yPCMsQ,Breakfast & Brunch,breakfast_brunch
yelp,Ag89Kt5lObftTZG7yPCMsQ,Coffee & Tea,coffee
yelp,GZfBzqB-4rxh504gNw4BoA,Acai Bowls,acaibowls
yelp,GZfBzqB-4rxh504gNw4BoA,Burgers,burgers
yelp,GZfBzqB-4rxh504gNw4BoA,Juice Bars & Smoothies,juicebars
yelp,rAFwZ8QtoJTH-Nm9jDnR8A,Vietnamese,vietnamese
yelp,rAFwZ8QtoJTH-Nm9jDnR8A,Coffee & Tea,coffee
yelp,rAFwZ8QtoJTH-Nm9jDnR8A,Noodles,noodles
yelp,KLMC4Tgin63xa2j9w8Im-w,Bubble Tea,bubbletea
yelp,KLMC4Tgin63xa2j9w8Im-w,Sushi Bars,sushi
yelp,KLMC4Tgin63xa2j9w8Im-w,Poke,poke
yelp,ULU1v4LqU5LbRNnMXbWykg,Pizza,pizza
yelp,ULU1v4LqU5LbRNnMXbWykg,Fast Food,hotdogs
yelp,BKxni1zlB-aUQbTBq1daVQ,Italian,italian
yelp,BKxni1zlB-aUQbTBq1daVQ,Pizza,pizza
yelp,bMPfKusLI8i6cZ5JIsWvJg,Bakeries,bakeries
yelp,bMPfKusLI8i6cZ5JIsWvJg,Caribbean,caribbean
yelp,bMPfKusLI8i6cZ5JIsWvJg,Fast Food,hotdogs
yelp,hIISqgMPDH5vYjbtOwiomQ,Ice Cream & Frozen Yogurt,icecream
yelp,hIISqgMPDH5vYjbtOwiomQ,Waffles,waffles
yelp,hIISqgMPDH5vYjbtOwiomQ,Creperies,creperies
yelp,6AlfW9j93S-a3Oucudrv9w,Tacos,tacos
